## https://cyberpunk-jdr.fr/fichiers/aides/aides/21-09-01-10-12-05_Corp_Generateur_FR.pdf
## QUE FAIT CETTE CORPORATION ?
## (1D100)Activités intéressantes et uniques pour les corporations de petite et moyenne taille.
## Jet	Résultats
1 	Solution de sécurité privée
34 	Travail et transformation des métaux
67 	Fabrication de technologies de sécurité
2 	Fabrication d'armes
35 	Extraction de ressources/exploitation minière
68 	Conseil en logistique d'entreprise
3 	Acquisition/détention de terres
36 	Fabrication de produits en plastique
69 	Vente d'articles de plaisir personnel
4 	Banque d'investissement
37 	Service de chasse aux primes
70 	Opérations clandestines
5 	Services de dotation
38 	Raffinement de CHOOH2
71 	Vente et entretien de véhicules aériens
6 	Distribution et expédition de nourriture
39 	Technologie de l'environnement
72 	Hôtel et hébergement de voyage
7 	Production d'énergie
40 	Fabrication aérospatiale
73 	Logiciel de gestion d'entreprise
8 	Architecture/conception de bâtiments
41 	Styliste modéliste
74 	Cabinet de marketing d'entreprise
9 	Entreprise de construction
42 	Assemblage et fabrication de véhicules
75 	Services de soins de longue durée
10 	Fournisseur d'assurance
43 	Fabrication de pièces de véhicules
76 	Capital-risque
11 	Studio de divertissement
44 	Sous-traitant archéologique
77 	Reconditionnement et distribution des produits
12 	Edition presse et pop-media
45 	Solutions informatiques de l’information
78 	Fabrication cybernétique
13 	Banque de dépôt
46 	Services funéraires et de dépouillement
79 	Entretien des véhicules grand public
14 	Espace de stockage/avoirs sûrs
47 	Traitement des eaux usées
80 	Installation/maintenance cybernétique
15 	Fournisseur d'eau
48 	Fabrication de machines-outils
81 	Services actuariels
16 	Recherche et développement scientifique
49 	Fabrication de véhicules grand public
82 	Consultants en sécurité incendie et sinistre
17 	Fabrication de produits chimiques
50 	Location de matériel de sécurité/militaire
83 	Service de secours médical
18 	Conseil en logistique d'entreprise
51 	Produits et services de luxe
84 	Achat de personnel vital 
19 	Services de nettoyage/de conciergerie
52 	Financement et courtage de prêts
85 	Vente et entretien de véhicules orbitaux
20 	Instructions et outils d'autodéfense
53 	Distribution de carburant CHOOH2
86 	Fabrication de matériaux de construction
21 	Vendeur et expéditeur d'armes
54 	Services de comptabilité
87 	Cabinet de lobbying de gouvernement
22 	Agence de voyage
55 	Fournisseur de soins de santé
88 	Fabrication d'industrie lourde
23 	Reprise et/ou exécution
56 	Distribution de produits électroniques grand public
89 	Distribution d'énergie
24 	Police privée
57 	Services de logistique orbitale
90 	Services immobiliers
25 	Fabrication de vêtements
58 	Enseignement supérieur privé
91 	Conseil en économie de coûts pour les entreprises
26 	Enquête privée
59 	Services de gestion de petites entreprises
92 	Fabrication pharmaceutique
27 	Fabrication de machines agricoles
60 	Gestion des ressources humaines
93 	Entrepreneur en sécurité réseau
28 	Tenue de livres/tenue de dossiers
61 	Service de communication B2B
94 	Services religieux
29 	Services de logistique d'expédition
62 	Conseil en ingénierie
95 	Service de formation professionnelle
30 	Distribution de technologie
63 	Fabrication/vente de robotique
96 	Approvisionnement en matières critiques
31 	Bureau d’assistance et de réparation
64 	Installation et maintenance CVC
97 	Gestion et marketing de célébrités
32 	Service de transport et/ou de taxi
65 	Service de transport de personnes
98 	Services de mercenaires
33 	Marketing et ventes 66 	Cabinet d'ingénierie et de conception électrique
99 	Groupe de réflexion économique/politique
100 	Cette société fait quelque chose de vraiment étrange, de niche ou ésotérique qui ferait dire aux PJ "Les gens sont payés pour faire ça ?
