## https://cyberpunk-jdr.fr/fichiers/aides/aides/21-09-01-10-13-03_Org_Generateur_FR.pdf
## QUE FAIT CETTE ORGANISATION ?
## (1D100)Idées intéressantes et uniques pour les organismes gouvernementales et les organisations à but non lucratif
## Jet	Résultats
1 	Réseaux/organisations de soutien aux vétérans
34 	Percepteurs et services fiscaux
67 	Manutention gratuite d'armes/bombes/mines
2 	Organisme de réglementation des drones et de la robotique
35 	Réglementation et accompagnement des médias
68 	Organisme de médias communautaires
3 	Coopératives d'artistes 36 	Supervision des soins de santé et de la recherche biologique
69 	Jardinage/agriculture communautaire
4 	Société historique
37 	Service de laboratoire public/communautaire
70 	Organisation de médias publics
5 	Gestion des subventions à l'industrie
38 	Application du code du bâtiment
71 	Gestion immobilière du gouvernement
6 	Développement agraire
39 	Bureau de la confiance/préservation du public
72 	Cimetière communautaire
7 	Accompagnement et éducation de l'enfance
40 	Développement de logements abordables
73 	Services santé des femmes
8 	Coopératives de recherche/soutien
41 	Organisme de réglementation de l'éducation
74 	Enquêtes sur la cybercriminalité
9 	Bibliothèque communautaire
42 	Organisme de régulation du commerce
75 	Réglementation cybernétique
10 	Organisation militante anti-guerre
43 	Services/sites de soutien aux ex-détenus
76 	Cliniques communautaires de cybernétique
11 	Systèmes/réseaux de soutien face aux maladies
44 	Direction de la justice et des tribunaux
77 	Etablissements de prise en charge de la cyberpsychose
12 	Réseaux religieux/églises/temples
45 	Aide à l'emploi/chercheurs d'emploi
78 	Services aux anciens combattants
13 	Etablissements de soins psychologiques
46 	Élections et démocratie
79 	Organisation de lobbying populaire
14 	Zoo ou sanctuaire animalier
47 	Education de la petite enfance
80 	Clubs de passionnés d'activités
15 	Préservation spécifique aux sites historique
48 	Services municipaux d'eau/d'électricité
81 	Services d'incendie
16 	Location de véhicules communautaires
49 	Gestion des voyages et de l'immigration
82 	Musée/services de musée 
17 	Prisons et incarcération
50 	Transport/Gestion routière
83 	Réparation/activisme écologique
18 	Services d'aide aux sans-abri
51 	Université/Education communautaire
84 	Conseil de gestion des mégabuildings
19 	Association météorologique
52 	Fonds et financement de logement
85 	Organisme de réglementation des drogues/alcools
20 	Services de logement
53 	Coopérative de réparation technologique
86 	Coopérative hacktiviste
21 	Accompagnement des jeunes et loisirs
54 	Patrouille et gestion côtière
87 	Santé communautaire
22 	Services juridiques gratuits
55 	Agence environnementale
88 	Projets d'embellissement
23 	Nutrition/réseau alimentaire/garde-manger
56 	Gestion industrielle
89 	Service d'espionnage anti-entreprise
24 	Organisation d'activisme environnemental
57 	Gestion de développement de région
90 	Fournisseur de réseau communautaire
25 	Accompagnement toxicomanie/abus
58 	Finances et gestion de l'argent
91 	Protection des témoins et des dénonciateurs
26 	Abris de violence/protection
59 	Trésorerie et dépenses
92 	Services aux immigrants
27 	Cliniques communautaires
60 	Paris/jeux communautaires
93 	Gestion de l'utilisation des terres
28 	Planification et soutien économiques
61 	Services de police et d'enquête
94 	Organisme de régulation de l'énergie
29 	Groupes de recherche communautaires
62 	Gestion de la faune
95 	Communications réseau longue portée
30 	Cabinet d'avocats militant
63 	Réglementation environnementale
96 	Gestion des informations publiques
31 	Syndicat de travail
64 	Certifications et brevets
97 	Lieux de divertissement gratuits
32 	Association de sécurité de quartier
65 	Gestion de l'espace et de l'orbite
98 	Services de santé/crise mentale
33 	Caisse
66 	Gestion de l'air et de la météo
99 	Organisation d'activisme contre le crime de l'industrie
100 	Cette organisation ou ce corps est vraiment spécifique et étrange, de sorte que les PJ diraient  « Ça existe ? »
